year,month,prefectures,Infected
2021,5,Shizuoka,80641
2021,5,Tochigi,66244
2021,5,Tokushima,17227
2021,5,Tokyo,1732560
2021,5,Tottori,4633
2021,5,Toyama,16657
2021,5,Wakayama,27679
2021,5,Yamagata,18930
2021,5,Yamaguchi,24027
2021,5,Yamanashi,15155
